ACCE_ABSORB_COST	Cena absorpce: %d
GUILDWINDOW_BUTTON_BASEDEAL	Prodat území cechu
GUILDWINDOW_BUTTON_BASEDEALVOTE	Hlasovat
GUILDWINDOW_BUTTON_BOARD	Zprávy cechu
GUILDWINDOW_BUTTON_CHANGEMASTER	Zmìnit velitele cechu
GUILDWINDOW_BUTTON_DECLARE	Vyhlásit válku
GUILDWINDOW_BUTTON_GOLDIN	Uloení
GUILDWINDOW_BUTTON_GOLDOUT	Vıbìr
GUILDWINDOW_BUTTON_GRADE	Správa oprávnìní
GUILDWINDOW_BUTTON_GUILDLIST	Seznam cechù
GUILDWINDOW_BUTTON_HEALGSP	Obnovit Sílu draèího boha
GUILDWINDOW_BUTTON_INFO	Informace o cechu
GUILDWINDOW_BUTTON_LANDINFO	Informace o území
GUILDWINDOW_BUTTON_MARK	Nahrát symbol cechu
GUILDWINDOW_BUTTON_MEMBER	Èlen
GUILDWINDOW_BUTTON_OFFER	Darovat BZK
GUILDWINDOW_BUTTON_OUTMEMBER	Odebrat èlena
GUILDWINDOW_BUTTON_SKILL	Schopnosti cechu
GUILDWINDOW_BUTTON_SYMBOL	Nahrát vlajku cechu
GUILDWINDOW_BUTTON_VOTECHECK	Podívat se na hlasy
GUILDWINDOW_BUY_GUILD_LAND	Koupit území
GUILDWINDOW_CHANGE_OBJECT	Rekonstrukce
GUILDWINDOW_CHANGE_SMELTER	Zmìnit pec
GUILDWINDOW_CREATE_OBJECT	Konstrukce
GUILDWINDOW_DEAL_GUILD_LAND	Prodat území
GUILDWINDOW_GRADE_BANK	Mùe pouívat cechovní pokladnu a skladištì
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	Mùe odebírat èleny cechu
GUILDWINDOW_GRADE_GRADENAME	Název hodnosti
GUILDWINDOW_GRADE_GRADENUMBER	Èíslo hodnosti
GUILDWINDOW_GRADE_GUILDWAR	Mùe vybírat èleny jako bojovníky
GUILDWINDOW_GRADE_INVITEAUTHORITY	Mùe pøijímat hráèe do cechu
GUILDWINDOW_GRADE_NOTICEAUTHORITY	Mùe posílat cechovní zprávy
GUILDWINDOW_GRADE_SKILLAUTHORITY	Mùe pouívat schopnosti cechu
GUILDWINDOW_INFO_LEVEL10	Zvıšit max. poèet èlenù
GUILDWINDOW_INFO_LEVEL15	Náklady: Síla draèího boha
GUILDWINDOW_INFO_LEVEL20	Pokladna: Daòová svoboda
GUILDWINDOW_INFO_LEVEL5	+5% BZK darovat cechu
GUILDWINDOW_LIST_ALL	Všechna království
GUILDWINDOW_LIST_ALREADY_REGISTER	[Cech] Ji jsi poslal ádost.
GUILDWINDOW_LIST_APPLICANT_LIST	Seznam ádostí
GUILDWINDOW_LIST_CHRACTER_JOB	Typ
GUILDWINDOW_LIST_CHRACTER_LV	Úroveò
GUILDWINDOW_LIST_CHRACTER_NAME	Jméno postavy
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Podtøída
GUILDWINDOW_LIST_EMPIRE_A	Shinsoo
GUILDWINDOW_LIST_EMPIRE_B	Chunjo
GUILDWINDOW_LIST_EMPIRE_C	Jinno
GUILDWINDOW_LIST_GUILDMEMBER	Èlen
GUILDWINDOW_LIST_GUILD_LIST	Seznam cechù
GUILDWINDOW_LIST_GUILD_LV	Úroveò
GUILDWINDOW_LIST_GUILD_NAME	Cech
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Cech] Prosím, zadej název cechu.
GUILDWINDOW_LIST_LADDER	Body umístìní
GUILDWINDOW_LIST_NOTPROMOTEGUILD	[Cech] Tento cech neinzeruje.
GUILDWINDOW_LIST_PROMOTE_GUILD	ádost
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Seznam cechù
GUILDWINDOW_LIST_RANKING	Pozice
GUILDWINDOW_LIST_RANKING_COUNT	Pozice
GUILDWINDOW_LIST_REGISTER	ádosti
GUILDWINDOW_LIST_REGISTER_GUILD	Poádat o vstup
GUILDWINDOW_LIST_SEARCH	Hledat
GUILDWINDOW_LIST_SELECT_GUILD	[Cech] Prosím, zvol si cech kam chceš vstoupit.
GUILDWINDOW_PROMOTE_REFRESH	Propagovat
GUILDWINDOW_PROMOTE_REGISTER	Propagovat
GUILDWINDOW_SP_RECOVER	Síla Draèího boha
GUILDWINDOW_UPGRADE_ALTEROFPOWER	Vylepšit Oltáø
GUILDWINDOW_UPGRADE_GUILDBANK	Vylepšit banku
GUILD_BANKINFO_CLOSE	Zavøít
GUILD_BANKINFO_NAME	Èlen
GUILD_BANKINFO_TYPE	Pøedmìt/mìna
GUILD_BANKINFO_USETYPE	Akce
GUILD_BANK_CLOSE	Zavøít
GUILD_BANK_INFO	Záznamy cechovního skladištì
GUILD_BOARD_ID	Èlen
GUILD_BOARD_TEXT	Zpráva
GUILD_BUILDING_FIX_CHANGE	Chceš opravdu zmìnit pozici?
GUILD_BUILDING_FIX_CHANGE_GOLD	Cena: 1.000.000 Yangù
GUILD_BUILDING_FIX_DELETE	Opravdu chceš smazat objekt?
GUILD_BUILDING_FIX_NEED_BUILDING	Není ádná budova.
GUILD_BUILDING_GRADE	Hodnost
GUILD_BUILDING_NAME	Název budovy
GUILD_CANNOT_HEAL_GSP_ANYMORE	Energie draèího ducha je plnì obnovena.
GUILD_COMMENT	Psát
GUILD_CREATE_ERROR_INSULT_NAME	Název cechu je nepøípustnı.
GUILD_DEFAULT_GRADE	Èlenové cechu
GUILD_DELETE	Smazat
GUILD_DEPOSIT	Deponovat
GUILD_DO_YOU_HEAL_GSP	Chceš pouít %d Yangù na obnovu %d jednotek Draèího ducha?
GUILD_DO_YOU_JOIN	 tì pozval. Pøeješ si vstoupit do cechu?
GUILD_DRAGONLAIR_MIN	min.
GUILD_DRAGONLAIR_SECOND	sek.
GUILD_EMPTY_AREA	Planá zemì
GUILD_ENEMY_GUILD_NAME	Název nepøátelského cechu
GUILD_FACILITY	Vedlejší budova
GUILD_GEM	Drahokam
GUILD_HEADQUARTER	Hlavní budova
GUILD_HEAL_GSP	Obnovit draèího ducha
GUILD_INFO_ENEMY_GUILD_EMPTY	ádná
GUILD_MARK_NOT_ENOUGH_LEVEL	Je zapotøebí minimálnì úrovnì 3.
GUILD_MARK_UPLOAD_NOTICE	Poèkej chvilku abys mohl pøidat cechovní loga.
GUILD_MEMBER_JOB	Typ
GUILD_MEMBER_KNIGHT	Bojovník
GUILD_MEMBER_LEVEL	Úroveò
GUILD_MEMBER_NAME	Èlen
GUILD_MEMBER_RANK	Hodnost
GUILD_MEMBER_SPECIFIC_GRAVITY	Darované BZK
GUILD_NAME	Název cechu
GUILD_NOT_ENOUGH_MATERIAL	Nemáš dostatek stavebního materiálu pro tuto budovu.
GUILD_NOT_ENOUGH_MONEY	Nemáš dostatek Yangù pro tuto budovu.
GUILD_NO_NOTICE_PERMISSION	Nejsi oprávnìn, zveøejòovat oznámení.
GUILD_OBJECT	Objekty
GUILD_OFFER_EXP	Zkušenost k investování
GUILD_SHORT_EXP	Nedostatek zkušeností.
GUILD_TILE_BASEINFO	Informace o území
GUILD_TILE_BOARD	Zprávy cechu
GUILD_TILE_GRADE	Administrace práv
GUILD_TILE_INFO	Informace o cechu
GUILD_TILE_MEMBER	Èlen
GUILD_TILE_SKILL	Schopnosti  cechu
GUILD_USE_MASTER_ONLY	Toto smí pouívat pouze vùdce cechu.
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Oblast cechovních válek
GUILD_WAR2	Oblast cechovních válek
GUILD_WAR3	Oblast cechovních válek
GUILD_WAR4	Oblast cechovních válek
GUILD_WAR_GAINSCORE_FIFTY	50 bodù
GUILD_WAR_GAINSCORE_HUNDRED	100 bodù
GUILD_WAR_GAINSCORE_THIRTY	30 bodù
GUILD_WAR_GAMETIME_SIXTY	60 minut
GUILD_WAR_GAMETIME_TEN	10 minut
GUILD_WAR_GAMETIME_THIRTY	30 minut
GUILD_WAR_LIMIT_30MIN	Èas: 30 minut
GUILD_WAR_REWARD_POTION	Odmìna: Vítìz obdrí elixíry
GUILD_WAR_SELECT_WAR	Zvol typ
GUILD_WAR_TYPE_DEFENSE	Štítová bitva
GUILD_WAR_TYPE_DIE	Bitva v arénì
GUILD_WAR_TYPE_FLAG	Zajmout vlajku
GUILD_WAR_TYPE_NORMAL	Polní bitva
GUILD_WAR_TYPE_TIGER	Rozdrcení
GUILD_WAR_TYPE_TIME	Èasovı útok
GUILD_WAR_USE_BATTLE_MAP	Lokalita: dìjištì cechovní války
GUILD_WAR_USE_NORMAL_MAP	Lokalita: normální mapa
GUILD_WAR_WIN_CHECK_SCORE	Nejvyšší vısledek vyhraje válku.
GUILD_WAR_WIN_FIVE	5 kol
GUILD_WAR_WIN_ONE	1 kolo
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Zmocni se praporu protivníka
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	a doprav jej na vlastní základnu.
GUILD_WAR_WIN_THREE	3 kola
GUILD_WAR_WIN_WIPE_OUT_GUILD	Pøemo všechny soupeøi, abys vyhrál.
GUILD_WITHDRAW	Ústup
GUILD_YOU_DO_NOT_JOIN	Nepatøíš k ádnému cechu.
HORSE_HEALTH0	Mrtvı
HORSE_HEALTH1	Hladovìjící
HORSE_HEALTH2	Hladovı
HORSE_HEALTH3	Plnı
HORSE_LEVEL1	Normální kùò
HORSE_LEVEL2	Opancéøovanı kùò
HORSE_LEVEL3	Vojenskı kùò
HOUR	hod.
HOW_MANY_ITEM_DO_YOU_DROP1	Chceš nechat padnout %s?
HOW_MANY_ITEM_DO_YOU_DROP2	Chceš nechat padnout %s %d?
INPUT_MATRIX_CARD_NUMBER	Zadat èíslo Matrix-karty
INPUT_MATRIX_CARD_TITLE	Matrix-karta
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Zadat vymazávající kód ze správy kont.
INPUT_PRIVATE_CODE_DIALOG_TITLE	Smazat postavu
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Pergamen se nedá dát dohromady.
INVENTORY_REALLY_USE_ITEM	Pouit pøedmìt na tento pøedmìt?
INVENTORY_REALLY_USE_ITEM2	Opravdu chceš pouít tento pøedmìt?
INVENTORY_REALLY_USE_PET_BAG_ITEM	Opravdu si pøeješ umístit svého mazlíka do pøepravní bedny?
INVENTORY_REALLY_USE_PET_BAG_TAKE_OUT	Pøeješ si otevøít pøepravní bednu?
INVENTORY_REALLY_USE_PET_FEEDSTUFF_ITEM	Chceš nakrmit %s na %s?
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	ádná
JOB_ASSASSIN1	Dıkovı ninja
JOB_ASSASSIN2	Ninja na dálku
JOB_SHAMAN	Šaman
JOB_SHAMAN0	ádná
JOB_SHAMAN1	Draèí šaman
JOB_SHAMAN2	Šaman léèitel
JOB_SURA	Sura
JOB_SURA0	ádná
JOB_SURA1	Zbraòovı Sura
JOB_SURA2	Magickı Sura
JOB_WARRIOR	Váleèník
JOB_WARRIOR0	ádná
JOB_WARRIOR1	Váleèník na tìlo
JOB_WARRIOR2	Mentální váleèník
JOB_WOLFMAN	Lycan
JOB_WOLFMAN0	Lycan amatér
JOB_WOLFMAN1	Instinkt
JOB_WOLFMAN2	N.A.
KEYCHANGE_DONT_SAVE_EXIT	Ukonèit bez uloení?
KEYCHANGE_IMPOSSIBLE_CHANGE	[CTRL], [ALT], [SHIFT] zde nejsou povoleny!
KEYCHANGE_SAVE_EXIT	Uloit a ukonèit?
KEY_0	é
KEY_0_LALT	ALT + é
KEY_0_LCONTROL	CTRL + é
KEY_0_LSHIFT	SHIFT + é
KEY_1	+
KEY_1_LALT	ALT + +
KEY_1_LCONTROL	CTRL + +
KEY_1_LSHIFT	SHIFT + +
KEY_2	ì
KEY_2_LALT	ALT + ì
KEY_2_LCONTROL	CTRL + ì
KEY_2_LSHIFT	SHIFT + ì
KEY_3	š
KEY_3_LALT	ALT + š
KEY_3_LCONTROL	CTRL + š
KEY_3_LSHIFT	SHIFT + š
KEY_4	è
KEY_4_LALT	ALT + è
KEY_4_LCONTROL	CTRL + è
KEY_4_LSHIFT	SHIFT + è
KEY_5	ø
KEY_5_LALT	ALT + ø
KEY_5_LCONTROL	CTRL + ø
KEY_5_LSHIFT	SHIFT + ø
KEY_6	
KEY_6_LALT	ALT + 
KEY_6_LCONTROL	CTRL + 
KEY_6_LSHIFT	SHIFT + 
KEY_7	ı
KEY_7_LALT	ALT + ı
KEY_7_LCONTROL	CTRL + ı
KEY_7_LSHIFT	SHIFT + ı
KEY_8	á
KEY_8_LALT	ALT + á
KEY_8_LCONTROL	CTRL + á
KEY_8_LSHIFT	SHIFT + á
KEY_9	í
KEY_9_LALT	ALT + í
KEY_9_LCONTROL	CTRL + í
KEY_9_LSHIFT	SHIFT + í
KEY_A	A
KEY_ADD	+
KEY_A_LALT	ALT + A
KEY_A_LCONTROL	CTRL + A
KEY_A_LSHIFT	SHIFT + A
KEY_B	B
KEY_B_LALT	ALT + B
KEY_B_LCONTROL	CTRL + B
KEY_B_LSHIFT	SHIFT + B
KEY_C	C
KEY_COMMA	,
KEY_COMMA_LALT	ALT + ,
KEY_COMMA_LCONTROL	CTRL + ,
KEY_COMMA_LSHIFT	SHIFT + ,
KEY_C_LALT	ALT + C
KEY_C_LCONTROL	CTRL + C
KEY_C_LSHIFT	SHIFT + C
KEY_D	D
KEY_DOWN	Šipka dolù
KEY_D_LALT	ALT + D
KEY_D_LCONTROL	CTRL + D
KEY_D_LSHIFT	SHIFT + D
KEY_E	E
KEY_E_LALT	ALT + E
KEY_E_LCONTROL	CTRL + E
KEY_E_LSHIFT	SHIFT + E
KEY_F	F
KEY_F1	F1
KEY_F10	F10
KEY_F10_LALT	ALT + F10
KEY_F10_LCONTROL	CTRL + F10
KEY_F10_LSHIFT	SHIFT + F10
KEY_F1_LALT	ALT + F1
KEY_F1_LCONTROL	CTRL + F1
KEY_F1_LSHIFT	SHIFT + F1
KEY_F2	F2
KEY_F2_LALT	ALT + F2
KEY_F2_LCONTROL	CTRL + F2
KEY_F2_LSHIFT	SHIFT + F2
KEY_F3	F3
KEY_F3_LALT	ALT + F3
KEY_F3_LCONTROL	CTRL + F3
KEY_F3_LSHIFT	SHIFT + F3
KEY_F4	F4
KEY_F4_LALT	ALT + F4
KEY_F4_LCONTROL	CTRL + F4
KEY_F4_LSHIFT	SHIFT + F4
KEY_F5	F5
KEY_F5_LALT	ALT + F5
KEY_F5_LCONTROL	CTRL + F5
KEY_F5_LSHIFT	SHIFT + F5
KEY_F6	F6
KEY_F6_LALT	ALT + F6
KEY_F6_LCONTROL	CTRL + F6
KEY_F6_LSHIFT	SHIFT + F6
KEY_F7	F7
KEY_F7_LALT	ALT + F7
KEY_F7_LCONTROL	CTRL + F7
KEY_F7_LSHIFT	SHIFT + F7
KEY_F8	F8
KEY_F8_LALT	ALT + F8
KEY_F8_LCONTROL	CTRL + F8
KEY_F8_LSHIFT	SHIFT + F8
KEY_F9	F9
KEY_F9_LALT	ALT + F9
KEY_F9_LCONTROL	CTRL + F9
KEY_F9_LSHIFT	SHIFT + F9
KEY_F_LALT	ALT + F
KEY_F_LCONTROL	CTRL + F
KEY_F_LSHIFT	SHIFT + F
KEY_G	G
KEY_GRAVE	;
KEY_GRAVE_LALT	ALT + ;
KEY_GRAVE_LCONTROL	CTRL + ;
KEY_GRAVE_LSHIFT	SHIFT + ;
KEY_G_LALT	ALT + G
KEY_G_LCONTROL	CTRL + G
KEY_G_LSHIFT	SHIFT + G
KEY_H	H
KEY_H_LALT	ALT + H
KEY_H_LCONTROL	CTRL + H
KEY_H_LSHIFT	SHIFT + H
KEY_I	I
KEY_I_LALT	ALT + I
KEY_I_LCONTROL	CTRL + I
KEY_I_LSHIFT	SHIFT + I
KEY_J	J
KEY_J_LALT	ALT + J
KEY_J_LCONTROL	CTRL + J
KEY_J_LSHIFT	SHIFT + J
KEY_K	K
KEY_K_LALT	ALT + K
KEY_K_LCONTROL	CTRL + K
KEY_K_LSHIFT	SHIFT + K
KEY_L	L
KEY_LALT	ALT
KEY_LCONTROL	CTRL
KEY_LEFT	Šipka doleva
KEY_LSHIFT	SHIFT
KEY_L_LALT	ALT + L
KEY_L_LCONTROL	CTRL + L
KEY_L_LSHIFT	SHIFT + L
KEY_M	M
KEY_M_LALT	ALT + M
KEY_M_LCONTROL	CTRL + M
KEY_M_LSHIFT	SHIFT + M
KEY_N	N
KEY_NUMLOCK	NUMLOCK
KEY_NUMPAD0	NUMPAD 0
KEY_NUMPAD1	NUMPAD 1
KEY_NUMPAD2	NUMPAD 2
KEY_NUMPAD3	NUMPAD 3
KEY_NUMPAD4	NUMPAD 4
KEY_NUMPAD5	NUMPAD 5
KEY_NUMPAD6	NUMPAD 6
KEY_NUMPAD7	NUMPAD 7
KEY_NUMPAD8	NUMPAD 8
KEY_NUMPAD9	NUMPAD 9
KEY_N_LALT	ALT + N
KEY_N_LCONTROL	CTRL + N
KEY_N_LSHIFT	SHIFT + N
KEY_O	O
KEY_O_LALT	ALT + O
KEY_O_LCONTROL	CTRL + O
KEY_O_LSHIFT	SHIFT + O
KEY_P	P
KEY_PERIOD	.
KEY_PERIOD_LALT	ALT + .
KEY_PERIOD_LCONTROL	CTRL + .
KEY_PERIOD_LSHIFT	SHIFT + .
KEY_PGDN	PAGE DOWN
KEY_PGUP	PAGE UP
KEY_P_LALT	ALT + P
KEY_P_LCONTROL	CTRL + P
KEY_P_LSHIFT	SHIFT + P
KEY_Q	Q
KEY_Q_LALT	ALT + Q
KEY_Q_LCONTROL	CTRL + Q
KEY_Q_LSHIFT	SHIFT + Q
KEY_R	R
KEY_RIGHT	Šipka doprava
KEY_R_LALT	ALT + R
KEY_R_LCONTROL	CTRL + R
KEY_R_LSHIFT	SHIFT + R
KEY_S	S
KEY_SPACE	MEZERNÍK
KEY_SUBTRACT	-
KEY_SYSRQ	PRTSCR
KEY_S_LALT	ALT + S
KEY_S_LCONTROL	CTRL + S
KEY_S_LSHIFT	SHIFT + S
KEY_T	T
KEY_TAB	TAB
KEY_T_LALT	ALT + T
KEY_T_LCONTROL	CTRL + T
KEY_T_LSHIFT	SHIFT + T
KEY_U	U
KEY_UP	Šipka nahoru
KEY_U_LALT	ALT + U
KEY_U_LCONTROL	CTRL + U
KEY_U_LSHIFT	SHIFT + U
KEY_V	V
KEY_V_LALT	ALT + V
KEY_V_LCONTROL	CTRL + V
KEY_V_LSHIFT	SHIFT + V
KEY_W	W
KEY_W_LALT	ALT + W
KEY_W_LCONTROL	CTRL + W
KEY_W_LSHIFT	SHIFT + W
KEY_X	X
KEY_X_LALT	ALT + X
KEY_X_LCONTROL	CTRL + X
KEY_X_LSHIFT	SHIFT + X
KEY_Y	Z
KEY_Y_LALT	ALT + Z
KEY_Y_LCONTROL	CTRL + Z
KEY_Y_LSHIFT	SHIFT + Z
KEY_Z	Y
KEY_Z_LALT	ALT + Y
KEY_Z_LCONTROL	CTRL + Y
KEY_Z_LSHIFT	SHIFT + Y
LEFT_TIME	Zbıvající èas
LOGIN_CONNECT_FAILURE	Chyba pøi spojení se serverem.
LOGIN_CONNECT_SUCCESS	Byl jsi pøipojen na server.
LOGIN_CONNETING	Budeš pøipojen na server...
LOGIN_FAILURE_ALREAY	Tvé konto je u pøipojeno.
LOGIN_FAILURE_BE_SAME_KEY	Problém s pøihlášením
LOGIN_FAILURE_BLOCK_ID	Tento úèet byl zablokován.
LOGIN_FAILURE_BLOCK_LOGIN	Prosím, zvolte si nìkterı z jinıch serverù!
LOGIN_FAILURE_NOBILL	Konto nemá k dispozici ádnou hrací dobu.
LOGIN_FAILURE_NOT_AVAIL	Konto není k dispozici.
LOGIN_FAILURE_NOT_EXIST_ID	Konto neexistuje nebo je chybné heslo.
LOGIN_FAILURE_NOT_MAIL_CONFIRM	Musíš ovìøit svùj úèet pomocí e-mailu.
LOGIN_FAILURE_REPAIR_ID	Právì se znovu zøizují pøedmìty pro toto konto.
LOGIN_FAILURE_SAMELOGIN	Nìkdo se pøipojil na tvùj úèet.
LOGIN_FAILURE_SHUTDOWN	Server zatím není pøístupnı.
LOGIN_FAILURE_TOO_MANY_USER	Nemohl jsi navázat spojení, protoe právì hraje pøíliš mnoho hráèù.
LOGIN_FAILURE_UNKNOWN	Z neznámıch dùvodù jsi se nemohl pøihlásit.
LOGIN_FAILURE_WEB_BLOCK	Byl jsi na webové stránce zablokován. Prosím zkontroluj si e-maily.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Zadal jsi špatné èíslo.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Zadal jsi tøikrát špatné èíslo. Tvoje pøipojení bude pøerušeno.
LOGIN_FAILURE_WRONG_PASSWORD	Chybné jméno nebo heslo.
LOGIN_INPUT_ID	Zadej ID.
LOGIN_INPUT_PASSWORD	Zadej heslo.
LOGIN_PROCESSING	Pøihlášení probíhá...
MALL_CANNOT_INSERT	Tento pøedmìt nemùeš umístit.
MALL_PASSWORD_TITLE	Heslo
MAP_A1	Oblast Yongan
MAP_A2	Údolí Seungryong
MAP_A2_1	
MAP_A3	Oblast Yayang
MAP_AG	Jungrang
MAP_B1	Oblast Joan
MAP_B2	Údolí Imjù
MAP_B3	Oblast Bokjung
MAP_BATTLE_FIELD	Bitevní zóna
MAP_BAY	Nefritovı záliv
MAP_BAYBLACKSAND	Nefritovı záliv
MAP_BG	Waryong
MAP_C1	Oblast Pyungmoo
MAP_C2	Údolí Bangsanù
MAP_C3	Oblast Bakra
MAP_CAPE	Záliv draèího ohnì
MAP_CAPEDRAGONHEAD	Záliv draèího ohnì
MAP_CG	Imha
MAP_DAWN	Útes Gautama
MAP_DAWNMISTWOOD	Útes Gautama
MAP_DAWNMIST_DUNGEON_01	Zakletı les
MAP_DESERT	Pouš Yongbi
MAP_DEVILCATACOMB	Ïáblova katakomba
MAP_DEVILTOWER1	Vì démonù
MAP_DUEL	Oblast tréninkovıch bojù
MAP_E	Kolonie
MAP_EMPIREWAR01	Bitva na hradì
MAP_EMPIREWAR02	Bitva na hradì
MAP_EMPIREWAR03	Bitva na hradì
MAP_FLAME	Doyyumhwan
MAP_GUILD_01	Jungrang
MAP_GUILD_02	Waryong
MAP_GUILD_03	Imha
MAP_HOLYPLACE_DESERT	Bitva království - Pouštní zemì
MAP_HOLYPLACE_FLAME	Bitva království - Ohnivá zemì
MAP_HOLYPLACE_ICE	Bitva království - Ledová zemì
MAP_MILGYO	Chrám Hwang
MAP_MILGYO_A	
MAP_MONKEY_DUNGEON	Hasun Dong
MAP_MONKEY_DUNGEON2	Jungsun Dong
MAP_MONKEY_DUNGEON3	Sangsun Dong
MAP_MONKEY_DUNGEON_11	Hasun Dong
MAP_MONKEY_DUNGEON_12	Hasun Dong
MAP_MONKEY_DUNGEON_13	Hasun Dong
MAP_MT_THUNDER	Bouøné hory
MAP_MT_TH_DUNGEON_01	Chrám Ochao
MAP_NUSLUCK	Zemì obrù
MAP_NUSLUCK01	Zemì obrù
MAP_N_DESERT_01	Pouš Yongbi
MAP_N_DESERT_02	
MAP_N_FLAME_01	Ohnivá zemì
MAP_N_FLAME_02	
MAP_N_FLAME_DRAGON	Doupì Meley
MAP_N_FLAME_DUNGEON_01	Pevnost Èerveného draka
MAP_N_SNOWM_01	Hora Sohan
MAP_N_SNOWM_02	
MAP_N_SNOW_DUNGEON_01	Nemerova strání vì
MAP_N_THREEWAY	Údolí Seungryong
MAP_OXEVENT	Soute OX
MAP_PATHWAY_DESERT_01	Bitva království - Pouštní zemì
MAP_PATHWAY_DESERT_02	Bitva království - Pouštní zemì
MAP_PATHWAY_DESERT_03	Bitva království - Pouštní zemì
MAP_PATHWAY_FLAME_01	Bitva království - Ohnivá zemì
MAP_PATHWAY_FLAME_02	Bitva království - Ohnivá zemì
MAP_PATHWAY_FLAME_03	Bitva království - Ohnivá zemì
MAP_PATHWAY_ICE_01	Bitva království - Ledová zemì
MAP_PATHWAY_ICE_02	Zemì her
MAP_PATHWAY_ICE_03	Bitva království - Ledová zemì
MAP_SKELTOWER	Vì Gumsan
MAP_SKIPIA_DUNGEON_01	Jeskynì vyhnanství
MAP_SKIPIA_DUNGEON_011	
MAP_SKIPIA_DUNGEON_012	
MAP_SKIPIA_DUNGEON_013	
MAP_SKIPIA_DUNGEON_02	Jeskynì vyhnanství 2
MAP_SKIPIA_DUNGEON_021	
MAP_SKIPIA_DUNGEON_022	
MAP_SKIPIA_DUNGEON_023	
MAP_SKIPIA_DUNGEON_BOSS	Draèí chrám
MAP_SKIPIA_DUNGEON_BOSS_1	Pavouèí bludištì 1
MAP_SKIPIA_DUNGEON_BOSS_2	Pavouèí bludištì 2
MAP_SKIPIA_DUNGEON_BOSS_3	Pavouèí bludištì 3
MAP_SNOW	Hora Sohan
MAP_SPIDER	Kuahlo Dong
MAP_SPIDERDUNGEON	Pavouèí bludištì 1
MAP_SPIDERDUNGEON_02	Pavouèí bludištì 2
MAP_SPIDERDUNGEON_02_1	Pavouèí bludištì 2
MAP_SPIDERDUNGEON_03	Pavouèí bludištì 3
MAP_SUNGZI	Bitva království
MAP_SUNGZI_DESERT_01	Bitva království - Pouštní zemì
MAP_SUNGZI_DESERT_HILL_01	Bitva království - Pouštní zemì
MAP_SUNGZI_DESERT_HILL_02	Bitva království - Pouštní zemì
MAP_SUNGZI_DESERT_HILL_03	Bitva království - Pouštní zemì
MAP_SUNGZI_FLAME_HILL_01	Bitva království - Ohnivá zemì
MAP_SUNGZI_FLAME_HILL_02	Bitva království - Ohnivá zemì
MAP_SUNGZI_FLAME_HILL_03	Bitva království - Ohnivá zemì
MAP_SUNGZI_SNOW	Bitva království - Ledová zemì
MAP_SUNGZI_SNOW_PASS01	Bitva království - Ledová zemì
MAP_SUNGZI_SNOW_PASS02	Bitva království - Ledová zemì
MAP_SUNGZI_SNOW_PASS03	Bitva království - Ledová zemì
MAP_T1	Oblast cechovních válek
MAP_T2	Oblast cechovních válek
MAP_T3	Oblast cechovních válek
MAP_T4	Oblast cechovních válek
MAP_TEMPLE	Chrám Hwang
MAP_THUNDER	Bouøné hory
MAP_TREE	Lungsam
MAP_TRENT	Les duchù
MAP_TRENT02	Èervenı les
MAP_TRENT02_A	Èervenı les
MAP_TRENT_A	
MAP_WEDDING_01	Svatební oblast
MAP_WL	Hadí pole
MAP_WL_01	Hadí pole
MC_ACCUMULATION_COUNT	Nasbírané karty pøíšer: %d
MC_ALTER_TEXT	Úroveò mise: %d
MC_CARD_FALL_SHORT	Nedostatek registrovanıch karet.
MC_CARD_SHUFFLE	Pøeješ si zamíchat karty?
MC_INIT_ITEM_FALL_SHORT	Potøebuješ %d Nulovacích lístkù
MC_MISSION_FAIL_MSG	Není pøekroèen ádnı limit ani není aktivní mise.
MC_MISSION_INIT	Chceš zresetovat úroveò mise na 1?
MC_MISSION_NO_CLEAR	Nejprve musíš misi dokonèit.
MC_MOTION_BUTTON_OVER_MSG	Tato monost je dostupná pouze pøi dvou hvìzdách.
MC_POLY_BUTTON_OVER_MSG	Tato monost je dostupná pouze pøi tøech hvìzdách.
MC_POLY_FAIL	Momentálnì se nemùeš promìnit.
MC_POLY_QUESTION	Pøeješ si promìnit se v tuto pøíšeru?
MC_PROMOTION_MAX	Ji nemùe bıt vylepšeno.
MC_PROMOTION_QUESTION	Pøeješ si zvıšit úroveò?
MC_QUESTION_BUTTON_DESC1	Reset lze provést maximálnì šestkrát za 24 hodin.
MC_QUESTION_BUTTON_DESC2	Kadı další reset potøebuje více Nulovacích lístkù.
MC_QUESTION_BUTTON_DESC3	Klikni zde do zobrazení zbıvajícího èasu èekání.
MC_REWARD_FAIL	Nemáš dostatek místa v inventáøi.
